ensembl_gene_id,chromosome_name,description,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSDARG00000037433,14,fragile X mental retardation 1 [Source:ZFIN;Acc:ZDB-GENE-020731-6],fmr1,-1.1602975260180437,5.029221321467731,-12.146263330753897,2.748068735335092e-7,0.005023469648192548,2.115213971243759
ENSDARG00000041257,14,smoothelin-like 1 [Source:ZFIN;Acc:ZDB-GENE-050306-23],smtnl1,2.0859582937004917,2.9620254229851484,10.84453228381283,7.889528751379351e-7,0.007211029278760727,-0.39216951893306007
ENSDARG00000052609,14,uncharacterized LOC100005318 [Source:NCBI gene;Acc:100005318],CU468164.1,5.326404254965116,-1.8011502389102938,9.10990178817065,3.858710993184565e-6,0.02351241231847128,-3.7082141109685818
ENSDARG00000104007,10,protocadherin 1 gamma 1 [Source:ZFIN;Acc:ZDB-GENE-050608-1],pcdh1g1,1.8085579654377466,0.881439607939908,6.402319270128284,8.006663222156319e-5,0.36590450925254375,-2.703191287624361
ENSDARG00000061585,14,"cytochrome P450, family 4, subfamily V, polypeptide 7 [Source:ZFIN;Acc:ZDB-GENE-061103-88]",cyp4v7,1.5439713903566747,1.1032413002786126,6.118055306163704,1.1563778646568185e-4,0.42277174731853284,-2.6182647666783536
ENSDARG00000090993,14,ring finger protein 4 [Source:ZFIN;Acc:ZDB-GENE-041008-246],rnf4,0.8196292885346015,3.6162894095528637,5.85842898727868,1.6330122928519792e-4,0.497524411888903,-0.8910190023077806
ENSDARG00000104491,22,adenosine monophosphate deaminase 2a [Source:ZFIN;Acc:ZDB-GENE-091204-4],ampd2a,0.745178163528322,2.666381582106697,5.701567869189799,2.0206141215926696e-4,0.5276689448959143,-1.6555744635764365
ENSDARG00000102435,7,"pleckstrin homology domain containing, family F (with FYVE domain) member 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1289]",plekhf1,1.27512822679993,3.081069710008037,5.460185024638842,2.823044951991954e-4,0.5479150515863371,-1.4792316948796795
ENSDARG00000037097,14,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:ZFIN;Acc:ZDB-GENE-041212-5]",slc7a2,0.9803603004980078,3.7456162816617073,5.457977745141847,2.8317979444393446e-4,0.5479150515863371,-1.0332770587619802
ENSDARG00000004472,19,alpha tubulin acetyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2120],atat1,-0.8126348330722968,4.017597224229959,-5.3693921408648935,3.2082448713917496e-4,0.5479150515863371,-0.8429926843955018
ENSDARG00000078133,14,lysine (K)-specific demethylase 2Ab [Source:ZFIN;Acc:ZDB-GENE-101007-5],kdm2ab,0.5086337248267363,6.448601520870026,5.306007099335205,3.5103427001138355e-4,0.5479150515863371,-0.44043415004987185
ENSDARG00000101393,6,si:dkey-31g6.6 [Source:ZFIN;Acc:ZDB-GENE-110209-1],si:dkey-31g6.6,-0.8956333533610038,5.529270034582533,-5.28893504444606,3.596816531201338e-4,0.5479150515863371,-0.46884078118737715
ENSDARG00000095665,15,si:ch211-191a16.2 [Source:ZFIN;Acc:ZDB-GENE-081028-45],si:ch211-191a16.2,1.60365432085863,0.5883668098605764,5.194765870624144,4.11661426772933e-4,0.5788592985699397,-3.090959117842793
ENSDARG00000095643,22,si:dkey-253d23.3 [Source:ZFIN;Acc:ZDB-GENE-050208-330],si:dkey-253d23.3,-0.8064244421698724,3.178138089776168,-5.128972939179605,4.5271447988504127e-4,0.591115763735611,-1.4527898460186321
ENSDARG00000104353,6,NOP58 ribonucleoprotein homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-040426-2140],nop58,-0.4829718997364423,6.683902927700584,-4.789725405523557,7.464195493362173e-4,0.7643347482775856,-0.8927779809887202
ENSDARG00000056938,4,keratocan [Source:ZFIN;Acc:ZDB-GENE-041210-165],kera,-0.4628696521924787,6.34837957606023,-4.769720417361458,7.691530676955023e-4,0.7643347482775856,-0.8959646257274709
ENSDARG00000077726,14,nocturnin a [Source:ZFIN;Acc:ZDB-GENE-050208-306],nocta,-0.6872480963972764,3.8130608719009618,-4.751026415354319,7.910632175005145e-4,0.7643347482775856,-1.4001241444162327
ENSDARG00000104108,4,"solute carrier organic anion transporter family, member 1D1 [Source:ZFIN;Acc:ZDB-GENE-030131-5044]",slco1d1,0.545321969290183,4.307816552958645,4.726792316886149,8.20459325742354e-4,0.7643347482775856,-1.2356420631284433
ENSDARG00000053558,17,rhotekin 2a [Source:ZFIN;Acc:ZDB-GENE-041010-225],rtkn2a,-0.6677030372198586,3.6133905323182844,-4.722623189746699,8.256325189105986e-4,0.7643347482775856,-1.501446850474447
ENSDARG00000071697,14,zgc:66433 [Source:ZFIN;Acc:ZDB-GENE-030131-9832],zgc:66433,0.3709438678829624,5.30477381121829,4.710584383045134,8.407662250881896e-4,0.7643347482775856,-0.9987253100337758
ENSDARG00000054827,22,"ssu-2 homolog, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-070424-72]",ssuh2.4,1.3115794388206399,-0.18229905774144423,4.486309673404353,0.0011837813641951897,0.7643347482775856,-3.5010118823770213
ENSDARG00000077811,17,SRY (sex determining region Y)-box 11a [Source:ZFIN;Acc:ZDB-GENE-980526-395],sox11a,-0.45722398293574956,8.006041918124856,-4.4759615972562825,0.0012028249380202478,0.7643347482775856,-1.3330902528970965
ENSDARG00000104572,14,si:dkey-35h6.1 [Source:ZFIN;Acc:ZDB-GENE-141216-112],si:dkey-35h6.1,1.3013062613079742,4.93948204521024,4.453858251837859,0.0012445967847738507,0.7643347482775856,-1.2980578439530817
ENSDARG00000076547,14,si:ch211-221f10.2 [Source:ZFIN;Acc:ZDB-GENE-140106-124],si:ch211-221f10.2,0.4633272876951961,4.502678732931952,4.325721488773879,0.0015190178228050874,0.7643347482775856,-1.5186323145708447
ENSDARG00000004270,14,atlastin 3 [Source:ZFIN;Acc:ZDB-GENE-041010-109],atl3,0.4495263681098423,5.225887876473109,4.312984254132706,0.0015495968102446714,0.7643347482775856,-1.379568799338121
ENSDARG00000093008,20,adhesion G protein-coupled receptor F3b [Source:ZFIN;Acc:ZDB-GENE-041001-207],adgrf3b,1.45798852041509,0.3148591406775288,4.298883727248215,0.001584208448028047,0.7643347482775856,-3.3723760241775573
ENSDARG00000063095,14,cathepsin F [Source:ZFIN;Acc:ZDB-GENE-030131-9831],ctsf,0.479856231510953,6.672981319497746,4.2660965744776584,0.0016678831450146051,0.7643347482775856,-1.3784359217254503
ENSDARG00000035909,19,major facilitator superfamily domain containing 2ab [Source:ZFIN;Acc:ZDB-GENE-040801-89],mfsd2ab,-0.48889577924191707,6.069856391905114,-4.265346068694246,0.0016698522279481303,0.7643347482775856,-1.3699107818203133
ENSDARG00000103996,14,spindle apparatus coiled-coil protein 1 [Source:ZFIN;Acc:ZDB-GENE-070928-7],spdl1,-0.5368006131452701,4.018045633887044,-4.2337193831094835,0.0017551006064962626,0.7643347482775856,-1.7181893406422857
ENSDARG00000045827,25,LYR motif containing 5b [Source:ZFIN;Acc:ZDB-GENE-070424-20],lyrm5b,-0.8106753162898968,1.815252809126311,-4.22485373228742,0.0017798126689729298,0.7643347482775856,-2.6989219388244727
ENSDARG00000103337,9,ribosomal RNA processing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9837],rrp1,-0.3876537793051439,4.354910787872761,-4.223806007397636,0.0017827572425747667,0.7643347482775856,-1.622266502128645
ENSDARG00000042489,10,THAP domain containing 12a [Source:ZFIN;Acc:ZDB-GENE-040426-2045],thap12a,-0.503174627127084,4.851580943009661,-4.2122151732774045,0.0018156775369132323,0.7643347482775856,-1.5184601197517948
ENSDARG00000101578,25,E2F transcription factor 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2773],e2f4,-0.5194843002715862,5.077414388125041,-4.194968926364023,0.0018658516386534105,0.7643347482775856,-1.4992669078138001
ENSDARG00000088745,1,microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035],MFAP4 (1 of many),1.195158586594887,3.332519923656143,4.188949574367953,0.0018837058726249116,0.7643347482775856,-2.134362695323367
ENSDARG00000045064,12,actin binding LIM protein 1b [Source:ZFIN;Acc:ZDB-GENE-050327-91],ablim1b,0.3571573431520966,5.496970096074919,4.186545307443107,0.0018908874986322693,0.7643347482775856,-1.4731588541868352
ENSDARG00000026369,9,"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein) [Source:ZFIN;Acc:ZDB-GENE-040426-1861]",dbi,-0.4962085874068502,7.273418141406494,-4.168379959860463,0.0019460892258616265,0.7643347482775856,-1.5299681168459722
ENSDARG00000036893,7,"coagulation factor XIII, A1 polypeptide b [Source:ZFIN;Acc:ZDB-GENE-030131-9634]",f13a1b,-0.6021391321069279,3.633445366398159,-4.167842713525536,0.0019477474567667805,0.7643347482775856,-1.893625842257495
ENSDARG00000116076,7,NULL,FO704772.2,-0.8816215933726076,3.9691885666054594,-4.1569174177711385,0.0019817936307510004,0.7643347482775856,-1.7726899184104896
ENSDARG00000069675,15,hairy-related 8.2 [Source:ZFIN;Acc:ZDB-GENE-060815-4],her8.2,-0.9351316214215262,2.824918043117776,-4.112336364328452,0.00212735195393172,0.7643347482775856,-2.262441433583766
ENSDARG00000090337,13,"peroxisome proliferator-activated receptor gamma, coactivator-related 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9858]",pprc1,-0.47249623483233116,4.507633186241789,-4.082963468387544,0.002229371005047912,0.7643347482775856,-1.70796681101704
ENSDARG00000116122,1,NULL,CABZ01067150.1,0.8999797640971524,0.8596859866848423,4.073110961486508,0.002264733070922603,0.7643347482775856,-3.242900438341266
ENSDARG00000102888,9,G protein-coupled receptor 39 [Source:ZFIN;Acc:ZDB-GENE-040426-1395],gpr39,0.9050822784038574,1.5891809703911164,4.039329654895735,0.002390523209144581,0.7643347482775856,-2.943155205658451
ENSDARG00000071644,22,si:dkey-19a16.7 [Source:ZFIN;Acc:ZDB-GENE-060503-903],si:dkey-19a16.7,-0.8017117443971268,3.7246047722767317,-4.036587533873576,0.002401051113077101,0.7643347482775856,-1.9730851332221073
ENSDARG00000101297,25,transmembrane protein 266 [Source:ZFIN;Acc:ZDB-GENE-070112-2382],tmem266,0.8593563589277666,2.6456713389257955,3.9961054785142087,0.0025622704770396428,0.7643347482775856,-2.5317773727164212
ENSDARG00000074979,6,"La ribonucleoprotein domain family, member 4Ab [Source:ZFIN;Acc:ZDB-GENE-100729-2]",larp4ab,-0.4001755561902042,4.983258408790563,-3.9777854601707237,0.0026389280281553036,0.7643347482775856,-1.7310842569250529
ENSDARG00000020079,14,nei-like DNA glycosylase 3 [Source:ZFIN;Acc:ZDB-GENE-041114-18],neil3,-0.6710438550244111,2.8034245917961975,-3.961158251342095,0.002710586327418263,0.7643347482775856,-2.397668767422636
ENSDARG00000093699,22,si:ch73-27e22.4 [Source:ZFIN;Acc:ZDB-GENE-070705-232],si:ch73-27e22.4,0.8879379029431698,0.8098934564031728,3.9279181816664974,0.002860027603522953,0.7643347482775856,-3.302365215228839
ENSDARG00000023583,25,coenzyme Q9 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-061207-37],coq9,0.4463416048368202,4.483239978754227,3.9183651053432595,0.0029045559542703347,0.7643347482775856,-1.8924952923141611
ENSDARG00000105689,4,zinc finger protein 1009 [Source:ZFIN;Acc:ZDB-GENE-110914-160],znf1009,0.7709006079106067,2.9218109014629743,3.9003474806322744,0.002990527263123068,0.7643347482775856,-2.462764807557114
ENSDARG00000024561,13,nucleolar and coiled-body phosphoprotein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6349],nolc1,-0.5678500159873128,5.806655544696287,-3.887443066211126,0.0030537362339321,0.7643347482775856,-1.7611890323457042
ENSDARG00000002690,11,RAB interacting factor [Source:ZFIN;Acc:ZDB-GENE-040718-216],rabif,-0.3763412662765943,4.1098908035930215,-3.885046828499945,0.003065626799675541,0.7643347482775856,-1.9916787280238255
ENSDARG00000090526,12,zgc:158404 [Source:ZFIN;Acc:ZDB-GENE-070112-592],zgc:158404,0.8292426891959974,2.3708199445590816,3.8754314667521474,0.00311382965916212,0.7643347482775856,-2.6979329920977837
ENSDARG00000080337,MT,NULL,NC_002333.4,-0.5121964550244723,7.567916079765936,-3.8680354923714217,0.0031514460160057185,0.7643347482775856,-1.8595715057980549
ENSDARG00000093402,22,si:dkey-286j17.4 [Source:ZFIN;Acc:ZDB-GENE-130530-2],si:dkey-286j17.4,-1.0325854867798094,3.274416600318047,-3.8422011195965178,0.003286616040321623,0.7643347482775856,-2.2596098135926717
ENSDARG00000036767,19,upregulator of cell proliferation [Source:ZFIN;Acc:ZDB-GENE-120215-160],urgcp,2.2242112069955677,0.7082270414405577,3.8211056241618118,0.0034014852908922475,0.7643347482775856,-3.4761170319066936
ENSDARG00000057504,15,si:dkey-202g17.3 [Source:ZFIN;Acc:ZDB-GENE-131127-371],si:dkey-202g17.3,0.5380951849550872,3.3115368778814447,3.820806560417401,0.0034031436066915273,0.7643347482775856,-2.346758653967662
ENSDARG00000079762,22,si:dkey-253d23.4 [Source:ZFIN;Acc:ZDB-GENE-050208-730],si:dkey-253d23.4,-0.3344687303760129,5.001434714482485,-3.818904773332783,0.003413708858424606,0.7643347482775856,-1.8905440556328728
ENSDARG00000099890,22,NULL,CU207221.2,-0.8144539398864341,0.17623475427641727,-3.813270899756394,0.003445209183064135,0.7643347482775856,-3.483708878970342
ENSDARG00000009822,23,"hairy-related 4, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-081031-104]",her4.4,-1.126687445610912,3.825747167164221,-3.8129744665264456,0.003446875002369672,0.7643347482775856,-2.09087964698238
ENSDARG00000059039,22,major histocompatibility complex class I ULA [Source:NCBI gene;Acc:796419],FO904903.1,-0.8271232743020104,1.5038845737552498,-3.8090245309794972,0.0034691523568298323,0.7643347482775856,-3.010528143159193
ENSDARG00000103856,14,pentatricopeptide repeat domain 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6849],ptcd3,0.33473465567017896,5.28615542276971,3.8076868661194334,0.003476730757668455,0.7643347482775856,-1.8786254436696117
ENSDARG00000076386,7,ependymin-like 1 [Source:ZFIN;Acc:ZDB-GENE-090710-3],epdl1,0.6115944856755599,4.6168532657495795,3.8056086946024443,0.0034885387594004516,0.7643347482775856,-1.9775680654973917
ENSDARG00000010266,19,insulin-like growth factor 2 mRNA binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-000308-1],igf2bp3,-0.31752151473194073,6.4248509056089524,-3.8011583521130916,0.0035139664318232823,0.7643347482775856,-1.8547359916761383
ENSDARG00000099447,10,protocadherin 1 gamma 18 [Source:ZFIN;Acc:ZDB-GENE-050609-13],pcdh1g18,1.5319490848786879,1.065488618926561,3.8010763971100205,0.003514436505545058,0.7643347482775856,-3.3166465584988836
ENSDARG00000086100,9,CD302 molecule [Source:ZFIN;Acc:ZDB-GENE-111118-1],cd302,0.6391650587332052,2.499146800040258,3.797115758682073,0.0035372322488860684,0.7643347482775856,-2.692429201829883
ENSDARG00000104037,14,si:dkey-74k8.4 [Source:ZFIN;Acc:ZDB-GENE-141219-40],si:dkey-74k8.4,1.1202507166316669,1.4218135028391747,3.7880131714389766,0.003590210318721511,0.7643347482775856,-3.099011516217862
ENSDARG00000094107,5,si:ch73-37h15.2 [Source:ZFIN;Acc:ZDB-GENE-041008-214],si:ch73-37h15.2,-0.4450718541698534,3.174049334381193,-3.781959499910169,0.0036259017489882537,0.7643347482775856,-2.386933939729381
ENSDARG00000071590,22,si:ch211-236g6.1 [Source:ZFIN;Acc:ZDB-GENE-050208-448],si:ch211-236g6.1,-0.7382542806974198,1.6714545710778226,-3.776248304026266,0.003659913809280413,0.7643347482775856,-2.9700027712833013
ENSDARG00000024090,14,"DnaJ (Hsp40) homolog, subfamily C, member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-3093]",dnajc4,0.5338600736951465,3.1581039126002097,3.7747379250407582,0.0036689642071352415,0.7643347482775856,-2.4622062650703382
ENSDARG00000053761,7,si:dkey-187j14.4 [Source:ZFIN;Acc:ZDB-GENE-131119-26],si:dkey-187j14.4,1.7249546214769012,0.8855204909777269,3.7729184965088383,0.00367989751351922,0.7643347482775856,-3.4039665290253343
ENSDARG00000036155,14,"galactosidase, alpha [Source:ZFIN;Acc:ZDB-GENE-041010-207]",gla,1.4461659105020708,1.813492964813533,3.7719093494903198,0.0036859763403838024,0.7643347482775856,-2.9626036229902346
ENSDARG00000090997,14,vascular endothelial growth factor Ba [Source:ZFIN;Acc:ZDB-GENE-120510-3],vegfba,0.8735036342787434,0.8379421914091033,3.769041789197047,0.0037033070370034917,0.7643347482775856,-3.3581653074678752
ENSDARG00000011141,17,dihydropyrimidinase-like 5a [Source:ZFIN;Acc:ZDB-GENE-030131-3136],dpysl5a,-0.5806565898061187,7.033869481385079,-3.7629753474418983,0.00374025179769026,0.7643347482775856,-1.9228475261492877
ENSDARG00000086665,10,si:dkey-175g6.2 [Source:ZFIN;Acc:ZDB-GENE-030131-8061],si:dkey-175g6.2,-0.40516569387759555,3.4699839965110115,-3.7453407174976983,0.0038498477804332146,0.7643347482775856,-2.3195749033001003
ENSDARG00000060679,17,lysine (K)-specific demethylase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-7828],kdm1a,-0.3273820804852568,7.8941633383223015,-3.742183006659793,0.0038698235492089783,0.7643347482775856,-2.0163952807773193
ENSDARG00000062956,7,"diacylglycerol lipase, alpha [Source:ZFIN;Acc:ZDB-GENE-070619-1]",dagla,0.7593943816934563,4.78074771809154,3.7226888880911795,0.0039955621282282295,0.7643347482775856,-2.0264380459939613
ENSDARG00000097467,6,NULL,CU693502.1,-0.6159766120672362,3.4089488747763497,-3.7209972266117166,0.0040066725592274866,0.7643347482775856,-2.336604930238301
ENSDARG00000062562,15,egl-9 family hypoxia-inducible factor 2 [Source:ZFIN;Acc:ZDB-GENE-060503-757],egln2,0.6921411371781869,2.1412072204073787,3.715580040936859,0.004042468617489038,0.7643347482775856,-2.8749042297540237
ENSDARG00000089296,4,si:dkey-240n22.6 [Source:ZFIN;Acc:ZDB-GENE-070705-411],si:dkey-240n22.6,1.2223980275744195,1.7761133217704064,3.7135356341952352,0.004056064317992946,0.7643347482775856,-3.0759484312939196
ENSDARG00000074546,22,si:ch211-213a13.2 [Source:ZFIN;Acc:ZDB-GENE-050208-551],si:ch211-213a13.2,1.4518184514354662,1.3561742755871904,3.709443471204301,0.004083421399556856,0.7643347482775856,-3.1930118776161827
ENSDARG00000014329,10,nucleophosmin 1a [Source:ZFIN;Acc:ZDB-GENE-021028-1],npm1a,-0.45687976744204,7.283266879971879,-3.7071092930904617,0.004099112021944792,0.7643347482775856,-2.0011179003758044
ENSDARG00000059866,2,cactin [Source:ZFIN;Acc:ZDB-GENE-060503-322],cactin,-0.3753102012753545,5.373505150113174,-3.690609249407262,0.0042118349193819215,0.7643347482775856,-1.9927522957313406
ENSDARG00000037943,3,carnitine palmitoyltransferase 1Cb [Source:ZFIN;Acc:ZDB-GENE-050417-155],cpt1cb,0.6525852810874164,2.8607178631183,3.6844318747255453,0.004254863597309097,0.7643347482775856,-2.640964102377509
ENSDARG00000042853,17,isovaleryl-CoA dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-030616-262],ivd,0.3981219804950797,5.360141147388433,3.6779805390823284,0.004300289713473524,0.7643347482775856,-2.0131608834761496
ENSDARG00000095896,6,POU class 3 homeobox 3b [Source:ZFIN;Acc:ZDB-GENE-980526-140],pou3f3b,-0.3206139375138656,6.585878893859425,-3.6571119956627456,0.004450723406024395,0.7643347482775856,-2.0158896035362295
ENSDARG00000070794,17,growth regulating estrogen receptor binding 1 [Source:ZFIN;Acc:ZDB-GENE-070112-332],greb1,-0.5586031353687296,3.4916714045247637,-3.6463927298658363,0.004530114679508224,0.7643347482775856,-2.3859653282984357
ENSDARG00000077982,22,"E74-like factor 3 (ets domain transcription factor, epithelial-specific ) [Source:ZFIN;Acc:ZDB-GENE-030131-8760]",elf3,0.8396975119380164,3.5534722850432554,3.643489524085363,0.004551869669935811,0.7643347482775856,-2.402904578338612
ENSDARG00000034313,15,"protein phosphatase 5, catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-050327-75]",ppp5c,-0.30090597061151053,6.091817934111415,-3.642122235697788,0.0045621529907700535,0.7643347482775856,-2.0259300849892288
ENSDARG00000076435,5,abhydrolase domain containing 10a [Source:ZFIN;Acc:ZDB-GENE-060526-144],abhd10a,0.38551031445204365,3.7260431578389595,3.6369698174501544,0.004601121813689127,0.7643347482775856,-2.355868888503723
ENSDARG00000099273,10,zgc:103508 [Source:ZFIN;Acc:ZDB-GENE-041212-28],zgc:103508,-0.5923579227536356,3.5703261040225662,-3.6231623533985164,0.004707267424538646,0.7643347482775856,-2.3977348634654283
ENSDARG00000099111,5,zgc:175280 [Source:ZFIN;Acc:ZDB-GENE-080219-39],zgc:175280,0.6895630385581549,1.8755871104948063,3.622845527842416,0.0047097327181991775,0.7643347482775856,-3.0463267424136835
ENSDARG00000056281,5,"cytochrome b561 family, member A3a [Source:ZFIN;Acc:ZDB-GENE-060526-374]",cyb561a3a,0.5587828410679264,2.177898493456412,3.612967096075943,0.004787276542678287,0.7643347482775856,-2.9256164560563636
ENSDARG00000096786,12,si:ch211-28p3.3 [Source:ZFIN;Acc:ZDB-GENE-130603-7],si:ch211-28p3.3,1.0147322293570125,0.44566863799833983,3.6051563841928345,0.004849528373571202,0.7643347482775856,-3.5423128615514408
ENSDARG00000012222,9,nucleoporin 35 [Source:ZFIN;Acc:ZDB-GENE-030131-9407],nup35,-0.4220245918646642,4.350794881254754,-3.6038217691592664,0.00486024923234816,0.7643347482775856,-2.207520902054066
ENSDARG00000104664,15,doublecortin-like kinase 1b [Source:ZFIN;Acc:ZDB-GENE-080516-7],dclk1b,-0.3812434473322608,6.3224169521158196,-3.600561893201212,0.004886539265575092,0.7643347482775856,-2.0731467828855172
ENSDARG00000074589,13,Ras and Rab interactor 2 [Source:ZFIN;Acc:ZDB-GENE-090312-194],rin2,0.5096811959374596,3.526698518169967,3.60055062197243,0.004886630421013761,0.7643347482775856,-2.4578553687826594
ENSDARG00000056023,3,homeobox B9a [Source:ZFIN;Acc:ZDB-GENE-990415-109],hoxb9a,-0.3027207860104438,5.194453217343312,-3.596624009064179,0.004918494489857099,0.7643347482775856,-2.108994000171234
ENSDARG00000012234,12,proteasome activator subunit 3 [Source:ZFIN;Acc:ZDB-GENE-991110-19],psme3,-0.3670010044707385,5.712617033161135,-3.5914319710291447,0.0049609592106650315,0.7643347482775856,-2.0870871469192043
ENSDARG00000038870,14,"SLU7 homolog, splicing factor [Source:ZFIN;Acc:ZDB-GENE-041114-62]",slu7,-0.3082133555988996,5.713508142565845,-3.5912666870040906,0.0049623172786718225,0.7643347482775856,-2.0876962800525103
ENSDARG00000069439,10,prostaglandin D2 synthase a [Source:ZFIN;Acc:ZDB-GENE-081022-118],ptgdsa,0.7125188870411007,2.650976090315075,3.582164170887154,0.005037708345769558,0.7643347482775856,-2.785402050671347
ENSDARG00000055120,17,cathepsin Ba [Source:ZFIN;Acc:ZDB-GENE-040426-2650],ctsba,-0.9458528711740002,6.565955916420135,-3.570045757473771,0.005139929282285189,0.7643347482775856,-2.1130177080331016
ENSDARG00000088524,4,acyl-CoA thioesterase 17 [Source:ZFIN;Acc:ZDB-GENE-040426-2381],acot17,-0.6390630683240559,4.141709829835343,-3.5680922922313605,0.005156607648067754,0.7643347482775856,-2.2716321660756327
ENSDARG00000002165,24,proteasome activator subunit 1 [Source:ZFIN;Acc:ZDB-GENE-991110-17],psme1,0.9446775109676132,0.9189033557456784,3.5657094862788847,0.005177027763615965,0.7643347482775856,-3.397608531164069
ENSDARG00000089245,17,dual specificity phosphatase 23b [Source:ZFIN;Acc:ZDB-GENE-040718-163],dusp23b,0.8902402138096843,3.2684730414385497,3.5550519809973458,0.005269392952219238,0.7643347482775856,-2.5776917760612372
